add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,seed,device,cov_value,PINAW_value
50,0.001,0.0001,0.01,4,cuda:0,,
50,0.001,0.0001,0.01,3,cuda:3,,
50,0.001,0.0001,0.01,2,cuda:2,,
50,0.001,0.0001,0.01,6,cuda:2,,
50,0.001,0.0001,0.01,1,cuda:1,,
50,0.001,0.0001,0.01,7,cuda:3,,
50,0.001,0.0001,0.01,0,cuda:0,,
50,0.001,0.0001,0.01,5,cuda:1,,
50,0.001,0.0001,0.01,9,cuda:1,,
50,0.001,0.0001,0.01,8,cuda:0,,
50,0.001,0.0001,0.002,1,cuda:3,,
50,0.001,0.0001,0.002,4,cuda:2,,
50,0.001,0.0001,0.002,0,cuda:2,,
50,0.001,0.0001,0.002,2,cuda:0,,
50,0.001,0.0001,0.002,5,cuda:3,,
50,0.001,0.0001,0.002,3,cuda:1,,
